Name,School,Difficulty Level,Rating,Link,About
Cloud DevOps Engineer,School of Cloud Computing,Intermediate,4.6,https://www.udacity.com//course/cloud-dev-ops-nanodegree--nd9991,"Companies are looking for talented DevOps engineers to remain competitive in this agile world. Enroll now to operationalize infrastructure at scale and deliver applications and services at high velocity, an essential skill for advancing your career."
Computer Vision,School of Artificial Intelligence,Advanced,4.7,https://www.udacity.com//course/computer-vision-nanodegree--nd891,"Learn the computer vision skills behind advances in robotics and automation. Write programs to analyze images, implement feature extraction, and recognize objects using deep learning models."
Robotics Software Engineer,School of Autonomous Systems,Advanced,4.5,https://www.udacity.com//course/robotics-software-engineer--nd209,"Build five hands-on projects to acquire core robotics software engineering skills: ROS, Gazebo, Localization, Mapping, SLAM, Navigation, and Path Planning."
Natural Language Processing,School of Artificial Intelligence,Advanced,4.5,https://www.udacity.com//course/natural-language-processing-nanodegree--nd892,"Learn the skills to get computers to understand, process, and respond to human language. Build models on real data, and get hands-on experience with sentiment analysis, machine translation, and more."
Data Architect,School of Data Science,Advanced,4.4,https://www.udacity.com//course/data-architect-nanodegree--nd038,"Learn how to plan, design and implement enterprise data infrastructure solutions and create the blueprints for your organization�s data success."
Cloud Developer,School of Cloud Computing,Intermediate,4.4,https://www.udacity.com//course/cloud-developer-nanodegree--nd9990,"Cloud development is the foundation for the new world of software development. Enroll now to build and deploy production-ready full stack apps at scale on AWS, an essential skill for advancing your web development career."
Intro to Self-Driving Cars,School of Autonomous Systems,Intermediate,4.6,https://www.udacity.com//course/intro-to-self-driving-cars--nd113,This introductory program is the perfect way to start your journey.
Cloud Native Application Architecture,School of Cloud Computing,Intermediate,None,https://www.udacity.com//course/cloud-native-application-architecture-nanodegree--nd064,"You�ll master the skills necessary to become a successful cloud native architect. Learn to run and manage scalable applications in a cloud native environment, using open source tools and projects like ArgoCD, gRPC, and Grafana."
Data Streaming,School of Data Science,Advanced,4.3,https://www.udacity.com//course/data-streaming-nanodegree--nd029,Learn how to stream data to unlock key insights in real-time.
Introduction to Cybersecurity,School of Cybersecurity,Beginner,4.5,https://www.udacity.com//course/intro-to-cybersecurity-nanodegree--nd545,"Get your start in the high growth field of cybersecurity by building foundational skills in how to evaluate, maintain and monitor the security of computer systems."
Data Analysis and Visualization with Power BI,School of Data Science,Beginner,None,https://www.udacity.com//course/data-analysis-and-visualization-with-power-BI-nanodegree--nd331,"You�ll master the in-demand skills necessary to become a successful data analyst like data pre-processing, visualization and analysis using Power BI as the primary tool."
Intro to Machine Learning with PyTorch,School of Artificial Intelligence,Intermediate,4.7,https://www.udacity.com//course/intro-to-machine-learning-nanodegree--nd229,"Build a solid foundation in Supervised, Unsupervised, and Deep Learning. Then, use these skills to test and deploy machine learning models in a production environment."
Sensor Fusion Engineer,School of Autonomous Systems,Advanced,4.7,https://www.udacity.com//course/sensor-fusion-engineer-nanodegree--nd313,"Learn to fuse lidar point clouds, radar signatures, and camera images using Kalman Filters to perceive the environment and detect and track vehicles and pedestrians over time."
Agile Software Development,School of Product Management,Beginner,4.6,https://www.udacity.com//course/agile-software-development-nanodegree--nd144,"The Agile Software Development Nanodegree program equips you with the skills you need to guide the delivery of high value products with top notch software development teams.
"
Intro to Machine Learning with TensorFlow,School of Artificial Intelligence,Intermediate,4.7,https://www.udacity.com//course/intro-to-machine-learning-with-tensorflow-nanodegree--nd230,"Build a solid foundation in Supervised, Unsupervised, and Deep Learning. Then, use these skills to test and deploy machine learning models in a production environment."
Ethical Hacker,School of Cybersecurity,Advanced,None,https://www.udacity.com//course/ethical-hacker-nanodegree--nd350,"Master the skills necessary to become a successful Ethical Hacker. Learn how to find and exploit vulnerabilities and weaknesses in various systems, design and execute a penetration testing plan, and report on test findings using valid evidence."
AWS Cloud Architect,School of Cloud Computing,Advanced,4.6,https://www.udacity.com//course/aws-cloud-architect-nanodegree--nd063,"Lead your organization's cloud computing strategy as an AWS Cloud Architect. Plan, design, and build secure, high availability cloud infrastructure."
iOS Developer,School of Programming & Development,Beginner,4.6,https://www.udacity.com//course/ios-developer-nanodegree--nd003,"Master the Swift programming language, and create a portfolio of iOS apps for iPhone and iPad to showcase your skills!"
Cloud Developer using Microsoft Azure,School of Cloud Computing,Intermediate,None,https://www.udacity.com//course/cloud-developer-using-microsoft-azure-nanodegree--nd081,"The Cloud Developer using Microsoft Azure program prepares students with critical cloud computing skills in how to deploy, build, migrate, and monitor applications on Azure."
IntermediateJavaScript,School of Programming & Development,Intermediate,4.4,https://www.udacity.com//course/Intermediate-javascript-nanodegree--nd032,"Master JavaScript, the most popular programming language in the world. Be equipped for Advancedroles in web development, server-side application development, and desktop development."
AI for Business Leaders,School of Business,Intermediate,4.6,https://www.udacity.com//course/ai-for-business-leaders--nd054,"Master the foundations of artificial intelligence so you can strategically implement machine learning technology in your organization, and leverage it for corporate growth."
Predictive Analytics For Business,School of Business,Beginner,4.7,https://www.udacity.com//course/predictive-analytics-for-business-nanodegree--nd008t,"Predictive analytics is the practice of determining patterns from data to predict future outcomes and trends. Across industries, it enables high-value solutions to important business problems."
Marketing Analytics,School of Business,Beginner,4.6,https://www.udacity.com//course/marketing-analytics-nanodegree--nd028,"Gain foundational data skills applicable to marketing. Collect and analyze data, model marketing scenarios, and communicate your findings with Excel, Tableau, Google Analytics, and Data Studios."
Machine Learning Engineer for Microsoft Azure,School of Artificial Intelligence,Intermediate,4.5,https://www.udacity.com//course/machine-learning-engineer-for-microsoft-azure-nanodegree--nd00333,"Strengthen your machine learning skills and build practical experience by training, validating, and evaluating models using Azure Machine Learning. "
Activation and Retention Strategy,School of Product Management,Intermediate,None,https://www.udacity.com//course/activation-and-retention-strategy--nd037-2,"Hone specialized Product Management skills in activation and retention strategy. Guide users through the activation funnel as fast as possible, so they reach your product�s aha-moment, and deploy experiments to improve customer lifetime value and decrease churn."
Android Basics,School of Programming & Development,Beginner,4.8,https://www.udacity.com//course/android-basics-nanodegree-by-google--nd803,No programming experience? No Problem! Start developing Android apps today.
Security Engineer,School of Cybersecurity,Intermediate,None,https://www.udacity.com//course/security-engineer-nanodegree--nd698,Take advantage of the growing need for skilled security professionals by mastering the sought-after skills to protect an organization�s computer networks and systems from security threats or attacks.
Monetization Strategy,School of Product Management,Intermediate,None,https://www.udacity.com//course/monetization-strategy--nd037-3,"Monetization Strategy is the third of three courses in the Growth Product Manager Nanodegree program. Hone specialized Product Management skills in monetization strategy by learning how to implement strategies to drive profitable growth for your business. Build and test pricing plans and market selection, target the right buyer personas, and be equipped to harness their full lifetime value."
Artificial Intelligence,School of Artificial Intelligence,Advanced,4.5,https://www.udacity.com//course/ai-artificial-intelligence-nanodegree--nd898,"Learn essential Artificial Intelligence concepts from AI experts like Peter Norvig and Sebastian Thrun, including search, optimization, planning, pattern recognition, and more."
Security Analyst,School of Cybersecurity,Intermediate,None,https://www.udacity.com//course/security-analyst-nanodegree--nd324,"Learn to identify, correct and respond to security weaknesses and incidents. You�ll also get real-world experience monitoring network traffic, analyzing alert and log data, and following incident handling procedures."
Data Visualization,School of Data Science,Beginner,4.6,https://www.udacity.com//course/data-visualization-nanodegree--nd197,"Combine data, visuals, and narrative to tell impactful stories and make data-driven decisions."
Flying Car and Autonomous Flight Engineer,School of Autonomous Systems,Advanced,4.6,https://www.udacity.com//course/flying-car-nanodegree--nd787,"Master job-ready autonomous flight software engineering skills as you tackle Advancedchallenges, write real code for real aircraft, and develop a systems understanding of the Flying Car full-stack."
Data Science for Business Leaders,School of Business,Intermediate,4.4,https://www.udacity.com//course/data-science-for-business-leaders--nd045,"Master the people, platforms, and processes required to leverage the power of Data Science in your business."
Programming for Data Science with R,School of Data Science,Beginner,4.8,https://www.udacity.com//course/programming-for-data-science-nanodegree-with-R--nd118,"Prepare for a data science career by learning the fundamental data programming tools: R, SQL, command line, and git."
Growth Product Manager,School of Product Management,Intermediate,None,https://www.udacity.com//course/growth-product-manager-nanodegree--nd037,"Hone specialized Product Management skills in growth strategy. Lead experimentation and data-driven decision-making in your organization to drive products to reach the next level of scale, impact, and profitability."
Cloud DevOps using Microsoft Azure,School of Cloud Computing,Intermediate,4.2,https://www.udacity.com//course/cloud-devops-using-microsoft-azure-nanodegree--nd082,"Learn how to deploy, test, and monitor cloud applications on Azure, one of the most popular cloud services platforms used by businesses across the globe."
RPA Developer with UiPath,School of Programming & Development,Beginner,None,https://www.udacity.com//course/rpa-developer-nanodegree--nd340,Build the operational processes that enable the businesses of the future.
Intel� Edge AI for IoT Developers,School of Artificial Intelligence,Advanced,4.7,https://www.udacity.com//course/intel-edge-ai-for-iot-developers-nanodegree--nd131,Lead the development of cutting-edge Edge AI applications that are the future of the Internet of Things. Leverage the Intel� Distribution of OpenVINO� Toolkit to fast-track development of high-performance computer vision and deep learning inference applications.
Hybrid Cloud Engineer,School of Cloud Computing,Intermediate,4.7,https://www.udacity.com//course/hybrid-cloud-engineer-nanodegree--nd321,"This Nanodegree program, built in collaboration with experts from Nutanix, a leader in the cutting edge field of hyperconverged infrastructure software, takes cloud technology and data-center professionals on an in-depth journey into the design, deployment, and management of infrastructure and applications together on the Hybrid Cloud. Master the concepts you need to transform how your IT teams manage applications and support the business."
Cloud Computing for Business Leaders,School of Business,Intermediate,None,https://www.udacity.com//course/cloud-computing-for-business-leaders-nanodegree--nd046,"This program will focus on the unique knowledge and skills that business leaders need to unlock the value of cloud technologies in their organizations, or enable a more cloud-native department that leverages cloud computing to drive growth and create operational efficiencies."
Self Driving Car Engineer,School of Autonomous Systems,Advanced,None,https://www.udacity.com//course/self-driving-car-engineer-nanodegree--nd0013,"In this program, you will learn the techniques that power self-driving cars across the full stack of a vehicle�s autonomous capabilities. Using Deep Learning with radar and lidar sensor fusion, you will train the vehicle to detect and identify its surroundings to inform navigation."
Cyber-Physical Systems Design & Analysis,School of Autonomous Systems,Advanced,None,https://www.udacity.com//course/cyber-physical-systems-design-analysis--ud9876,This course provides an introduction to cyber-physical systems with an industrial perspective.
Differential Equations in Action,School of Autonomous Systems,Intermediate,None,https://www.udacity.com//course/differential-equations-in-action--cs222,"Write Python code to find numerical solutions to systems of differential equations. The models you create will fight wildfires, bring spaceships back to earth, and more!"
Self-Driving Fundamentals: Featuring Apollo ,School of Autonomous Systems,Beginner,None,https://www.udacity.com//course/self-driving-car-fundamentals-featuring-apollo--ud0419,"Identify key parts of self-driving cars, utilize Apollo HD Map, localization, perception, prediction, planning and control, and start the learning path of building a self-driving car. "
Introduction to Machine Learning using Microsoft Azure,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/introduction-to-machine-learning-using-microsoft-azure--ud00333,"Gain a high-level introduction to the field of machine learning and prepare to use Azure Machine Learning Studio to train machine learning models. Plus, learn how to perform a variety of tasks on Azure Machine Learning labs � from data import, transformation and management to training, validating and evaluating models."
AI Fundamentals,School of Artificial Intelligence,Beginner,None,https://www.udacity.com//course/ai-fundamentals--ud099,"AI Fundamentals is an entry point into the world of AI using Microsoft's cloud-based solutions, such as Azure Machine Learning and Azure Cognitive Services."
Linear Algebra Refresher Course,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/linear-algebra-refresher-course--ud953,Learn linear algebra by doing: you will code your own library of linear algebra functions!
Machine Learning: Unsupervised Learning,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/machine-learning-unsupervised-learning--ud741,Ever wonder how Netflix can predict what movies you'll like? Or how Amazon knows what you want to buy before you do? The answer can be found in Unsupervised Learning!
Big Data Analytics in Healthcare,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/big-data-analytics-in-healthcare--ud758,"In this course, we introduce the characteristics of medical data and associated data mining challenges on dealing with such data. We cover various algorithms and systems."
Intro to Descriptive Statistics,School of Artificial Intelligence,Beginner,None,https://www.udacity.com//course/intro-to-descriptive-statistics--ud827,Intro to Descriptive Statistics will teach you the basic concepts of statistics that can be used to extract information from data.
Intel� Edge AI Fundamentals with OpenVINO�,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/intel-edge-AI-fundamentals-with-openvino--ud132,Stay at the cutting-edge of AI technology by gaining practical skills for deploying edge AI. Learn how to use the Intel Distribution of OpenVINO toolkit to deploy computer vision capabilities inside a range of edge applications.
Artificial Intelligence,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/artificial-intelligence--ud954,"This course gives a survey of topics in AI along with in-depth foundational concepts such as classical search, probability, machine learning, logic and planning."
Secure and Private AI,School of Artificial Intelligence,Advanced,None,https://www.udacity.com//course/secure-and-private-ai--ud185,Learn how to extend PyTorch with the tools necessary to train AI models that preserve user privacy.
Model Building and Validation,School of Artificial Intelligence,Advanced,None,https://www.udacity.com//course/model-building-and-validation--ud919,This course will teach you how to start from scratch in understanding and paying attention to what is important in the data and how to answer questions about data.
Data Visualization and D3.js,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/data-visualization-and-d3js--ud507,Learn the fundamentals of data visualization and apply design and narrative concepts to create your own visualization.
Machine Learning for Trading,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/machine-learning-for-trading--ud501,Implement machine learning based strategies to make trading decisions using real-world data.
Machine Learning,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/machine-learning--ud262,"In this course, you'll learn how to apply Supervised, Unsupervised and Reinforcement Learning techniques for solving a range of data science problems."
Intro to Hadoop and MapReduce,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/intro-to-hadoop-and-mapreduce--ud617,"In this short course, learn the fundamentals of MapReduce and Apache Hadoop to start making sense of Big Data in the real world!"
Real-Time Analytics with Apache Storm,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/real-time-analytics-with-apache-storm--ud381,"The world is trending in real time! Learn Apache Storm, taught by Twitter, to scalably analyze real-time tweets and drive d3 visualizations. Storm is free, open and fun!"
A/B Testing,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/ab-testing--ud257,"This course will cover the design and analysis of A/B tests, also known as split tests, which are online experiments used to test potential improvements to a website or mobile application. "
Data Analysis with R,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/data-analysis-with-r--ud651,Data is everywhere and so much of it is unexplored. Learn how to investigate and summarize data sets using R and eventually create your own analysis.
Knowledge-Based AI: Cognitive Systems,School of Artificial Intelligence,Advanced,None,https://www.udacity.com//course/knowledge-based-ai-cognitive-systems--ud409,The twin goals of knowledge-based artificial intelligence (AI) are to build AI agents capable of human-level intelligence and gain insights into human cognition.
Introduction to TensorFlow Lite,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/intro-to-tensorflow-lite--ud190,Learn how to deploy deep learning models on mobile and embedded devices with TensorFlow Lite.
Introduction to Computer Vision,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/introduction-to-computer-vision--ud810,"This course provides an introduction to computer vision including fundamentals, methods for application and machine learning classification."
Intro to TensorFlow for Deep Learning,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/intro-to-tensorflow-for-deep-learning--ud187,"Developed by Google and Udacity, this course teaches a practical approach to deep learning for software developers."
Eigenvectors and Eigenvalues,School of Artificial Intelligence,Beginner,None,https://www.udacity.com//course/eigenvectors-and-eigenvalues--ud104,Learn how to calculate eigenvalues and eigenvectors and why they are important for AI applications.
Intro to Artificial Intelligence,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/intro-to-artificial-intelligence--cs271,"This course will introduce you to the basics of AI. Topics include machine learning, probabilistic reasoning, robotics, computer vision, and natural language processing."
Artificial Intelligence for Robotics,School of Artificial Intelligence,Advanced,None,https://www.udacity.com//course/artificial-intelligence-for-robotics--cs373,"Learn how to program all the major systems of a robotic car. Topics include planning, search, localization, tracking, and control."
Intro to Deep Learning with PyTorch,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/deep-learning-pytorch--ud188,Learn the basics of deep learning and implement your own deep neural networks with PyTorch
AWS DeepRacer,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/aws-deepracer--ud014,Learn the fundamentals of machine learning and reinforcement learning in a fun and engaging way through autonomous driving with AWS DeepRacer.
Reinforcement Learning,School of Artificial Intelligence,,None,https://www.udacity.com//course/reinforcement-learning--ud600,
Introduction to Machine Learning Course,School of Artificial Intelligence,Intermediate,None,https://www.udacity.com//course/intro-to-machine-learning--ud120,"This class will teach you the end-to-end process of investigating data through a machine learning lens. Learn online, with Udacity."
Rapid Prototyping,School of Product Management,Intermediate,None,https://www.udacity.com//course/rapid-prototyping--ud723,Learning to prototype will save you time and money in the development process. You�ll create quality apps faster and have confidence in the viability of your products.
Product Design,School of Product Management,Intermediate,None,https://www.udacity.com//course/product-design--ud509,"Learn product validation, UI/UX practices, Google�s Design Sprint and the process for setting and tracking actionable metrics."
App Monetization,School of Product Management,Intermediate,None,https://www.udacity.com//course/app-monetization--ud518,"Learn how to effectively develop, implement, and measure your monetization strategy, iterating on the model as appropriate."
A/B Testing for Business Analysts,School of Product Management,Intermediate,None,https://www.udacity.com//course/ab-testing--ud979,The A/B Testing course provides students with the foundational knowledge to design and analyze A/B tests to create business insights and support decision making.
Product Manager Interview Preparation,School of Product Management,Beginner,None,https://www.udacity.com//course/product-manager-interview-preparation--ud034,"Ace your product management interview by understanding how to answer key strategic, technical, and practical product questions."
