id,Name,University,level,Link,About
3652,JavaScript Basics Web Development Building Blocks,Udemy,beginner,https://www.udemy.com/javascript-basics-web-development-building-blocks/,Web Development
3653,Bootstrap unleash the power faster & easier web development,Udemy,intermediate,https://www.udemy.com/bootstrap-3-responsive-design-tutorial-fundamentals/,Web Development
3654,JavaScript Design Patterns: 20 Patterns for Expert Code,Udemy,advanced,https://www.udemy.com/javascript-design-patterns-20-patterns-for-expert-code/,Web Development
3655,Fix Google's New 'Not Secure' Warning with Let's Encrypt!,Udemy,beginner,https://www.udemy.com/fix-googles-new-not-secure-warning-with-lets-encrypt/,Web Development
3656,JavaScript for Beginners Welcome to learning JavaScript,Udemy,beginner,https://www.udemy.com/javascript-for-beginners-course/,Web Development
3657,Benefits of Thinking Mobile First Future of Website Design,Udemy,beginner,https://www.udemy.com/thinking-mobile-websites-smart-design-tutorial/,Web Development
3658,Javascript from Beginner to Advanced Level,Udemy,beginner,https://www.udemy.com/javascript-from-beginner-to-advanced-level/,Web Development
3659,AJAX Development,Udemy,intermediate,https://www.udemy.com/ajax-development/,Web Development
3660,Interaction Design Specialist For Web Developers,Udemy,intermediate,https://www.udemy.com/interaction-design-specialist-for-web-developers/,Web Development
3661,PHP Security,Udemy,intermediate,https://www.udemy.com/php-security/,Web Development
3662,The Bubble Course - Create Complete Web Apps without Coding,Udemy,beginner,https://www.udemy.com/bubble-course/,Web Development
3663,The Complete HTML5 & CSS3 Course Build Professional Websites,Udemy,intermediate,https://www.udemy.com/html5css3/,Web Development
3664,CSS Web Development Crash Course,Udemy,beginner,https://www.udemy.com/css-course/,Web Development
3665,Mastering DevOps,Udemy,intermediate,https://www.udemy.com/mastering-devops/,Web Development
3666,Building Websites Create a fully functional Web contact form,Udemy,beginner,https://www.udemy.com/how-to-create-a-fully-functional-web-contact-form/,Web Development
3667,Create a Dynamic User Registration Form from scratch,Udemy,beginner,https://www.udemy.com/create-a-dynamic-user-registration-form-from-scratch/,Web Development
3668,A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course,Udemy,intermediate,https://www.udemy.com/learnsqlwithsqlserver2014/,Web Development
3669,HTML Workshop,Udemy,intermediate,https://www.udemy.com/html-workshop/,Web Development
3670,Python for Beginners: Python Programming Language | Tutorial,Udemy,beginner,https://www.udemy.com/python-course/,Web Development
3671,Creating Animations using HTML5 Canvas,Udemy,intermediate,https://www.udemy.com/hmtl5-canvas-animations/,Web Development
3672,Bootstrap 4: Exploring New Features,Udemy,intermediate,https://www.udemy.com/bootstrap-40exploring-new-features/,Web Development
3673,Bootstrap 3 -> Profitable WordPress Theme Development!,Udemy,intermediate,https://www.udemy.com/bootstrap-wordpress/,Web Development
3674,Intro to Git,Udemy,beginner,https://www.udemy.com/intro-to-git/,Web Development
3675,WordPress Domination #2: Leads & Scarcity,Udemy,beginner,https://www.udemy.com/wordpress-domination-2-leads-and-scarcity/,Web Development
3676,Learn How to Manage & Customize  Web Sites By Drupal CMS,Udemy,intermediate,https://www.udemy.com/drupal-course/,Web Development
3677,Using Modern JavaScript Today,Udemy,intermediate,https://www.udemy.com/using-modern-javascript/,Web Development
3678,Up and Running with jQuery,Udemy,intermediate,https://www.udemy.com/up-and-running-with-jquery/,Web Development
3679,Learn How To Build A Professional Web Site By Using Joomla,Udemy,intermediate,https://www.udemy.com/learn-how-to-build-a-professional-web-site-by-using-joomla/,Web Development
3680,Power up HTML5 with JavaScript,Udemy,beginner,https://www.udemy.com/power-up-html5-with-javascript/,Web Development
3681,Node Package Manager Course: Build and Publish NPM Modules,Udemy,intermediate,https://www.udemy.com/node-package-manager-course-build-and-publish-npm-modules/,Web Development
3682,WordPress Look and Feel with Themes,Udemy,beginner,https://www.udemy.com/learn-wordpress-customize-look-and-feel-with-themes/,Web Development
3683,PHP with Laravel for beginners - Become a Master in Laravel,Udemy,intermediate,https://www.udemy.com/php-with-laravel-for-beginners-become-a-master-in-laravel/,Web Development
3684,JavaScript 2017: Become Top Rated Web Developer,Udemy,intermediate,https://www.udemy.com/become-professional-javascript-developer/,Web Development
3685,The Complete Web Developer Bootcamp - Beginner to Expert,Udemy,intermediate,https://www.udemy.com/job-ready-web-developer/,Web Development
3686,Full-Stack Web Apps with Meteor and React,Udemy,intermediate,https://www.udemy.com/meteor-react/,Web Development
3687,Angular 4: From Theory to Practice & FREE E-Book,Udemy,intermediate,https://www.udemy.com/angular-2-from-theory-to-practice/,Web Development
3688,The Complete Sass & SCSS Course: From Beginner to Advanced,Udemy,intermediate,https://www.udemy.com/sasscourse/,Web Development
3689,Become a Certified Web Developer,Udemy,intermediate,https://www.udemy.com/become-a-certified-web-developer/,Web Development
3690,Become a Web Developer from Scratch,Udemy,intermediate,https://www.udemy.com/how-to-become-a-web-developer-from-scratch/,Web Development
3691,Ultimate Angular 4 (previously Angular 2) with Bootstrap 4,Udemy,intermediate,https://www.udemy.com/ultimate-angular-2/,Web Development
3692,The Ultimate Beginner's Guide to Django,Udemy,beginner,https://www.udemy.com/the-ultimate-beginners-guide-to-django-python-web-dev-website/,Web Development
3693,React JS - Mastering Redux,Udemy,intermediate,https://www.udemy.com/react-js-mastering-redux/,Web Development
3694,Professional Ruby on Rails Developer with Rails 5,Udemy,intermediate,https://www.udemy.com/pro-ruby-on-rails-rails5/,Web Development
3695,"Ruby on Rails 5 - BDD, RSpec and Capybara",Udemy,intermediate,https://www.udemy.com/ruby-rails-5-bdd-rspec-capybara/,Web Development
3696,Back to School Web Development and Programming Bundle,Udemy,beginner,https://www.udemy.com/back-to-school-web-development-and-programming-bundle/,Web Development
3697,Complete ASP NET MVC Web Development - Newbie to Ninja!,Udemy,intermediate,https://www.udemy.com/better-web-development-pro-techniques-for-success/,Web Development
3698,The Complete DevOps Engineer Course 2.0 - Java & Kubernetes,Udemy,intermediate,https://www.udemy.com/the-complete-devops-engineer-course-20-java-kubernetes/,Web Development
3699,All about NodeJS,Udemy,intermediate,https://www.udemy.com/all-about-nodejs/,Web Development
3700,How To Create A Wordpress Website 2016 | NEW Divi Theme 3.0!,Udemy,beginner,https://www.udemy.com/how-to-create-a-wordpress-website-2016-new-divi-theme-30/,Web Development
3701,The Complete jQuery Course - From Beginner to Professional!,Udemy,intermediate,https://www.udemy.com/complete-jquery-developer-course-beginner-to-pro/,Web Development
3702,Build a complete Fiverr clone with Node + Algolia + Paypal,Udemy,intermediate,https://www.udemy.com/web-developer-build-fiverr-twitter-and-mvp-with-nodejs/,Web Development
3703,The Ultimate Web Development Course,Udemy,intermediate,https://www.udemy.com/build-an-instant-update-database-interface-with-jquery-ajax/,Web Development
3704,React From The Ground Up,Udemy,intermediate,https://www.udemy.com/reactjs-from-the-ground-up/,Web Development
3705,Javascript for Beginners Learn by Doing Practical Exercises,Udemy,intermediate,https://www.udemy.com/javascript-for-beginners-introduction-learn-fast-easy/,Web Development
3706,8 Beautiful Ruby on Rails Apps in 30 Days & TDD - Immersive ,Udemy,intermediate,https://www.udemy.com/8-beautiful-ruby-on-rails-apps-in-30-days/,Web Development
3707,Wordpress Website Mastery 2017,Udemy,beginner,https://www.udemy.com/wordpress-website-mastery-2017/,Web Development
3708,How To Make an eCommerce Website With Wordpress 2017,Udemy,beginner,https://www.udemy.com/how-to-make-an-ecommerce-website-with-wordpress-2017/,Web Development
3709,Mastering ASP.NET MVC 5 From Scratch Using C#,Udemy,intermediate,https://www.udemy.com/masteringaspnetmvc5/,Web Development
3710,Start Web Development with GIS Map in JavaScript,Udemy,intermediate,https://www.udemy.com/start-web-development-with-gis-map-in-javascript/,Web Development
3711,Learn to Build Websites using Twitter Bootstrap,Udemy,intermediate,https://www.udemy.com/learn-to-build-websites-using-twitter-bootstrap/,Web Development
3712,Web Development Tools the Pros Use: Code Productivity Hacks,Udemy,beginner,https://www.udemy.com/web-development-tools/,Web Development
3713,WordPress : An Overview,Udemy,beginner,https://www.udemy.com/what-is-wordpress/,Web Development
3714,Create Startup Landing Page with Viral Marketing Strategies,Udemy,beginner,https://www.udemy.com/create-startup-landing-page-with-viral-marketing-strategies/,Web Development
3715,JavaScript : JavaScript Awesomeness,Udemy,beginner,https://www.udemy.com/javascript-javascript/,Web Development
3716,Mastering CSS 3.0 Selectors,Udemy,intermediate,https://www.udemy.com/css3-selectors/,Web Development
3717,WordPress Backup And Restore Fundamentals,Udemy,intermediate,https://www.udemy.com/wordpress-backup-and-restore-fundamentals/,Web Development
3718,Learn HTML and CSS to make a Website,Udemy,beginner,https://www.udemy.com/learn-html-and-css-to-make-website/,Web Development
3719,1 Hour HTML,Udemy,beginner,https://www.udemy.com/1-hour-html/,Web Development
3720,Angular 2 Crash Course with TypeScript,Udemy,intermediate,https://www.udemy.com/angular-2-crash-course/,Web Development
3721,Boost your website speed without any coding!,Udemy,intermediate,https://www.udemy.com/boost-your-website-speed-without-any-coding/,Web Development
3722,Professional Rails Code Along,Udemy,intermediate,https://www.udemy.com/professional-ruby-on-rails-coding-course/,Web Development
3723,ASP.NET Web API 2 Hands-On,Udemy,intermediate,https://www.udemy.com/aspnet-web-api-2-hands-on/,Web Development
